id_mobi, id_vms
6279,7819
6280,7822
6281,7823
6282,7824
6283,7816
6284,7814
6285,7817
6286,7719
6287,7718
6288,7815
6289,7813
6290,7811
6291,7796
6292,7825
6293,7808
6294,7794
6295,7800
6296,7801
6297,7755
6298,7809
6299,7793
6300,7799
6301,7795
6302,7771
6303,7741
6304,7810
6305,7797
6306,7807
6307,7720
6308,7769
6309,7818
6310,7820
6311,7821
6312,7812
6313,7785
6314,7783
6315,7742
6316,7721
6317,7768
6318,7782
6319,7806
6320,7740
6321,7805
6322,7770
6323,7754
6324,7757
6325,7792
6326,7784
6327,7804
6328,7767
6329,7766
6330,7772
6331,7775
6332,7773
6333,7760
6334,7702
6335,7722
6336,7763
6337,7761
6338,7626
6339,7629
6340,7774
6341,7765
6342,7698
6343,7803
6344,7660
6345,7762
6346,7802
6347,7708
6348,7663
6349,7751
6350,7759
6351,7758
6352,7748
6353,7713
6354,7790
6355,7791
6356,7789
6357,7687
6358,7628
6359,7717
6360,7700
6361,7750
6362,7787
6363,7689
6364,7786
6365,7753
6366,7666
6367,7749
6368,7788
6369,7776
6370,7747
6371,7659
6372,7735
6373,7779
6374,7559
6375,7781
6376,7667
6377,7736
6378,7744
6379,7737
6380,7587
6381,7739
6382,7778
6383,7712
6384,7780
6385,7664
6386,7568
6387,7746
6388,7777
6389,7728
6390,7764
6391,7727
6392,7724
6393,7690
6394,7669
6395,7752
6396,7710
6397,7701
6398,7756
6399,7731
6400,7571
6401,7733
6402,7726
6403,7732
6404,7625
6405,7709
6406,7725
6407,7723
6408,7729
6409,7734
6410,7711
6411,7715
6412,7671
6413,7738
6414,7730
6415,7707
6416,7705
6417,7704
6418,7714
6419,7696
6420,7703
6421,7745
6422,7675
6423,7743
6424,7619
6425,7697
6426,7658
6427,7536
6428,7699
6429,7676
6430,7695
6431,7693
6432,7694
6433,7677
6434,7683
6435,7678
6436,7686
6437,7557
6438,7673
6439,7691
6440,7602
6441,7679
6442,7680
6443,7661
6444,7685
6445,7672
6446,7617
6447,7627
6448,7682
